custid,firstname,lastname,email,custno,custjoining,custzip,,
70,desire,klenke,desireklenke,3346471031,9/16/09,62715,,"INSERT into customer values (70,desire,klenke,desireklenke,3346471031,40072,62715"
71,brian,chamberlain,brianchamberlain,6199003512,5/31/06,81287,,"INSERT into customer values (71,brian,chamberlain,brianchamberlain,6199003512,38868,81287"
72,kristeen,farabaugh,kristeenfarabaugh,2132361186,11/18/03,62313,,"INSERT into customer values (72,kristeen,farabaugh,kristeenfarabaugh,2132361186,37943,62313"
73,gilda,vanatta,gildavanatta,1399909156,4/10/02,61670,,"INSERT into customer values (73,gilda,vanatta,gildavanatta,1399909156,37356,61670"
74,princess,bumbrey,princessbumbrey,7585218231,10/21/05,25323,,"INSERT into customer values (74,princess,bumbrey,princessbumbrey,7585218231,38646,25323"
75,earlie,townson,earlietownson,4315657545,12/17/05,32216,,"INSERT into customer values (75,earlie,townson,earlietownson,4315657545,38703,32216"
76,fumiko,laliberte,fumikolaliberte,8202658320,7/29/17,44089,,"INSERT into customer values (76,fumiko,laliberte,fumikolaliberte,8202658320,42945,44089"
77,sherie,chason,sheriechason,5227169003,11/2/07,73160,,"INSERT into customer values (77,sherie,chason,sheriechason,5227169003,39388,73160"
78,gricelda,maravilla,griceldamaravilla,5175954290,1/28/10,12521,,"INSERT into customer values (78,gricelda,maravilla,griceldamaravilla,5175954290,40206,12521"
79,serafina,knoll,serafinaknoll,3971862459,8/7/17,71546,,"INSERT into customer values (79,serafina,knoll,serafinaknoll,3971862459,42954,71546"
80,sachiko,younkin,sachikoyounkin,6988174972,11/20/11,14902,,"INSERT into customer values (80,sachiko,younkin,sachikoyounkin,6988174972,40867,14902"
81,jena,noles,jenanoles,6465512454,2/4/02,56554,,"INSERT into customer values (81,jena,noles,jenanoles,6465512454,37291,56554"
82,shelby,wiser,shelbywiser,4216134684,11/13/13,90874,,"INSERT into customer values (82,shelby,wiser,shelbywiser,4216134684,41591,90874"
83,margareta,spies,margaretaspies,1574046129,10/15/17,80744,,"INSERT into customer values (83,margareta,spies,margaretaspies,1574046129,43023,80744"
84,dinorah,furey,dinorahfurey,4525786573,8/5/19,68377,,"INSERT into customer values (84,dinorah,furey,dinorahfurey,4525786573,43682,68377"
85,kiyoko,lechuga,kiyokolechuga,2459628726,3/7/09,70268,,"INSERT into customer values (85,kiyoko,lechuga,kiyokolechuga,2459628726,39879,70268"
86,danny,kreger,dannykreger,3299915364,12/10/06,67139,,"INSERT into customer values (86,danny,kreger,dannykreger,3299915364,39061,67139"
87,nolan,fenwick,nolanfenwick,6153377158,9/26/12,53833,,"INSERT into customer values (87,nolan,fenwick,nolanfenwick,6153377158,41178,53833"
88,lesli,unrein,lesliunrein,3149808366,4/30/08,13433,,"INSERT into customer values (88,lesli,unrein,lesliunrein,3149808366,39568,13433"
89,donya,bartle,donyabartle,6415301540,12/15/11,84832,,"INSERT into customer values (89,donya,bartle,donyabartle,6415301540,40892,84832"
90,palma,flanery,palmaflanery,5727333165,7/25/14,11419,,"INSERT into customer values (90,palma,flanery,palmaflanery,5727333165,41845,11419"
91,kenny,clothier,kennyclothier,3348221977,6/30/16,55708,,"INSERT into customer values (91,kenny,clothier,kennyclothier,3348221977,42551,55708"
92,kristen,lossing,kristenlossing,1447995542,6/14/06,91583,,"INSERT into customer values (92,kristen,lossing,kristenlossing,1447995542,38882,91583"
93,karoline,felix,karolinefelix,6045960481,12/16/16,13418,,"INSERT into customer values (93,karoline,felix,karolinefelix,6045960481,42720,13418"
94,alan,voll,alanvoll,6550630374,6/18/05,51928,,"INSERT into customer values (94,alan,voll,alanvoll,6550630374,38521,51928"
95,glenda,woolfolk,glendawoolfolk,5201408906,4/18/10,69511,,"INSERT into customer values (95,glenda,woolfolk,glendawoolfolk,5201408906,40286,69511"
96,alyson,hosack,alysonhosack,7948631631,4/26/09,45903,,"INSERT into customer values (96,alyson,hosack,alysonhosack,7948631631,39929,45903"
97,francis,sines,francissines,7487461319,10/11/20,87340,,"INSERT into customer values (97,francis,sines,francissines,7487461319,44115,87340"
98,riley,bagnall,rileybagnall,6296423355,6/9/19,81406,,"INSERT into customer values (98,riley,bagnall,rileybagnall,6296423355,43625,81406"
99,carmina,camp,carminacamp,4463039111,5/26/02,39626,,"INSERT into customer values (99,carmina,camp,carminacamp,4463039111,37402,39626"
100,alethia,tiemann,alethiatiemann,8153755355,7/31/06,46819,,
101,deborah,molinar,deborahmolinar,9277455905,8/26/12,81790,,
102,marvella,huckstep,marvellahuckstep,8277825592,3/29/10,58280,,
103,sallie,briley,salliebriley,6752964850,1/7/08,39751,,
104,scottie,backer,scottiebacker,5294952832,11/12/16,45440,,
105,beatriz,kinsey,beatrizkinsey,8197365737,8/2/08,34032,,
106,mason,carrow,masoncarrow,2699464639,6/26/13,96608,,
107,regenia,blish,regeniablish,8624225165,3/2/02,12705,,
108,necole,faria,necolefaria,4943691153,2/6/02,72101,,
109,samantha,hadfield,samanthahadfield,6391909977,10/30/14,50951,,
110,lida,sing,lidasing,7261865671,10/8/19,77050,,
111,bette,church,bettechurch,2046086807,12/19/05,13439,,
112,illa,friscia,illafriscia,5460904674,8/15/03,80235,,
113,magdalena,clabaugh,magdalenaclabaugh,3919576570,8/23/04,24046,,
114,sol,lemley,sollemley,4389261797,9/22/20,88666,,
115,angelyn,nave,angelynnave,2042410742,1/22/20,99947,,
116,lorie,hempstead,loriehempstead,3766100950,4/23/01,74844,,
117,darlena,brubaker,darlenabrubaker,2751636036,5/19/18,49068,,
118,ivory,almonte,ivoryalmonte,4752926615,4/9/12,42010,,
119,keva,sauage,kevasauage,8963261939,2/26/02,51720,,
120,krystin,morita,krystinmorita,6741126344,6/6/05,15893,,
121,margarito,hintzen,margaritohintzen,8012910859,12/9/01,45405,,
122,alanna,gillispie,alannagillispie,3120793542,12/1/05,86786,,
123,alayna,rosenblatt,alaynarosenblatt,1174386835,12/15/07,20769,,
124,deeann,thomsen,deeannthomsen,9452301791,10/5/05,28385,,
125,guy,moulton,guymoulton,8442689331,2/27/05,14198,,
126,ming,scudder,mingscudder,3412038731,10/26/12,77860,,
127,mickey,espino,mickeyespino,5798651130,4/5/01,55371,,
128,mellissa,mortimore,mellissamortimore,5708938011,7/3/17,33758,,
129,lesia,stoute,lesiastoute,9436012977,12/28/01,19630,,
130,pauletta,murton,paulettamurton,8420071761,7/16/10,23634,,
131,solomon,chamberlin,solomonchamberlin,2439224098,11/22/18,51656,,
132,neville,yocom,nevilleyocom,1325698081,11/6/19,26663,,
133,vera,edmiston,veraedmiston,4324355358,11/19/18,15010,,
134,lawerence,amburn,lawerenceamburn,3548335140,3/28/06,13590,,
135,cedrick,agnew,cedrickagnew,6005206012,3/20/20,54796,,
136,melinda,kuchta,melindakuchta,4415364539,10/27/20,42297,,
137,alma,gelinas,almagelinas,2227815377,1/22/05,90054,,
138,francis,sikes,francissikes,4002355775,5/31/09,89664,,
139,minerva,giles,minervagiles,5924487011,4/4/04,50234,,
140,nikki,iskra,nikkiiskra,5476999105,8/23/14,97491,,
141,lore,coil,lorecoil,8110254998,5/19/04,47450,,
142,marlena,craner,marlenacraner,7295987712,10/11/14,28937,,
143,darius,trojacek,dariustrojacek,3330303982,12/20/06,95142,,
144,sade,gasaway,sadegasaway,4155771830,5/18/19,45885,,
145,sybil,rahman,sybilrahman,1122504020,2/6/12,92945,,
146,zoraida,sumner,zoraidasumner,9487243823,11/7/09,69886,,
147,raina,mccrae,rainamccrae,3071642757,3/9/20,21148,,
148,elsa,mcspadden,elsamcspadden,5608308172,6/14/13,83913,,
149,bernadine,chung,bernadinechung,5712599094,11/30/18,74644,,
150,francie,frase,franciefrase,2094705249,3/1/03,26286,,
151,mariana,vavra,marianavavra,8291814986,5/22/15,86177,,
152,nakita,primer,nakitaprimer,3044050620,1/3/05,85936,,
153,aletha,hardesty,alethahardesty,4615341100,1/3/01,63481,,
154,dwain,sargeant,dwainsargeant,2474765537,8/15/17,32801,,
155,thea,hubbs,theahubbs,1647178075,3/2/15,22407,,
156,caleb,peters,calebpeters,1434385511,6/4/07,12851,,
157,sparkle,kaestner,sparklekaestner,3391421826,5/15/15,94225,,
158,narcisa,hsieh,narcisahsieh,4202413949,8/4/14,75869,,
159,sherwood,vanalstyne,sherwoodvanalstyne,5345758656,11/15/04,25777,,
160,jeanice,joy,jeanicejoy,9102519303,8/28/16,28463,,
161,bert,riter,bertriter,4343768257,5/1/05,47444,,
162,dorotha,aldinger,dorothaaldinger,1520804731,10/2/13,56650,,
163,anisha,thomson,anishathomson,7844453351,12/12/13,83685,,
164,rufus,amerine,rufusamerine,3809401631,2/24/19,74124,,
165,roslyn,alaimo,roslynalaimo,1423120419,8/20/10,63022,,
166,noelle,raybon,noelleraybon,3282431702,12/10/09,37610,,
167,shanae,hanger,shanaehanger,9806287353,1/28/08,63342,,
168,william,hopf,williamhopf,8157813529,9/5/17,46282,,
169,adolfo,bella,adolfobella,9407110132,4/27/00,30109,,
170,xenia,schubert,xeniaschubert,9176286016,6/18/19,79287,,
171,brenton,tokarski,brentontokarski,1498281165,2/20/09,84851,,
172,hal,bender,halbender,2068369345,4/14/12,36551,,
173,geraldine,border,geraldineborder,5292678641,9/27/15,45855,,
174,setsuko,pardo,setsukopardo,6236543198,11/21/19,25646,,
175,meghan,sydnor,meghansydnor,3170131926,3/28/15,30696,,
176,lavern,gard,laverngard,1217186343,3/5/01,55943,,
177,cyrus,beckham,cyrusbeckham,7780188130,2/25/05,55281,,
178,leeanne,fortunato,leeannefortunato,1817283459,12/2/01,83393,,
179,nilda,deyoung,nildadeyoung,3421845828,10/22/03,75793,,
180,marylee,greenburg,maryleegreenburg,9525276276,9/28/05,31053,,
181,gay,aubert,gayaubert,3166338222,4/24/12,20235,,
182,janel,carley,janelcarley,6393385761,5/31/02,59877,,
183,damaris,nestle,damarisnestle,2945238494,1/22/18,89568,,
184,jeanine,hoerr,jeaninehoerr,7438735317,6/22/00,25295,,
185,wiley,scotto,wileyscotto,4879242153,5/3/06,30186,,
186,dian,cobian,diancobian,7578883180,4/4/14,29568,,
187,brendan,zilnicki,brendanzilnicki,5409265095,12/26/14,62238,,
188,mana,seegmiller,manaseegmiller,8899115951,10/23/04,60571,,
189,flavia,nitta,flavianitta,4792708577,10/10/09,41611,,
190,humberto,ware,humbertoware,9352834611,3/25/02,19990,,
191,ned,permenter,nedpermenter,7576147279,2/15/05,81036,,
192,albertina,junkin,albertinajunkin,8267973316,6/27/15,68189,,
193,rosia,duron,rosiaduron,1507671596,12/24/17,21129,,
194,kena,stallings,kenastallings,4570114842,1/11/07,54806,,
195,lolita,pringle,lolitapringle,7345187600,10/10/18,27265,,
196,kristen,gilley,kristengilley,8027315922,10/16/01,52566,,
197,genaro,koga,genarokoga,8113412793,10/11/16,33161,,
198,suzanna,putman,suzannaputman,9701201398,3/7/19,20672,,
199,candy,konieczny,candykonieczny,8594744182,4/8/17,88507,,
200,ozella,conner,ozellaconner,8814984242,8/8/10,39303,,
201,leonel,hock,leonelhock,2691008387,3/6/01,43493,,
202,vannesa,millard,vannesamillard,5928273042,7/28/01,40451,,
203,melonie,villacorta,melonievillacorta,6892004821,1/28/02,60014,,
204,dorine,zeitler,dorinezeitler,5629836116,7/10/17,37115,,
205,bridget,conyers,bridgetconyers,8256952664,9/28/07,57899,,
206,jacklyn,dyment,jacklyndyment,6249510939,9/10/04,93813,,
207,felicita,maclachlan,felicitamaclachlan,4853885082,11/27/16,46011,,
208,herbert,gamache,herbertgamache,3107461352,12/31/10,74611,,
209,antonietta,llewellyn,antoniettallewellyn,4220982212,4/17/04,38540,,
210,pennie,alling,penniealling,6256773072,10/15/13,67138,,
211,laree,kay,lareekay,7376713578,3/19/14,29870,,
212,antonio,navarette,antonionavarette,7683145025,5/10/17,12970,,
213,steve,mainor,stevemainor,8666540127,12/10/16,70993,,
214,gertrud,sather,gertrudsather,2837031711,12/10/02,17672,,
215,nan,beverley,nanbeverley,5841693647,1/21/13,33144,,
216,walter,belford,walterbelford,7461521828,5/3/13,74056,,
217,colby,hobart,colbyhobart,3324867534,2/11/15,21970,,
218,patrick,nocera,patricknocera,3065903637,4/26/08,46850,,
219,hilary,modeste,hilarymodeste,7570804763,3/9/04,79505,,
220,elke,licht,elkelicht,4040825542,3/31/07,22697,,
221,faustina,dunson,faustinadunson,2661258602,6/4/19,59138,,
222,tara,clingman,taraclingman,9736160490,6/13/17,67541,,
223,elva,hochmuth,elvahochmuth,1033991437,4/9/19,20584,,
224,opal,groover,opalgroover,2547375622,12/12/12,91959,,
225,maryln,ferris,marylnferris,5372677220,10/14/07,23287,,
226,katrina,almon,katrinaalmon,3326185101,10/15/07,90111,,
227,stephane,labelle,stephanelabelle,6815408474,12/24/10,18043,,
228,christene,gloria,christenegloria,4289749317,12/21/16,10440,,
229,araceli,majewski,aracelimajewski,6694746657,9/17/16,28382,,
230,marilou,funderburg,mariloufunderburg,9510654994,7/12/12,46409,,
231,america,tocci,americatocci,8927058980,8/20/20,24427,,
232,erich,ragin,erichragin,6540951770,3/14/13,13196,,
233,neoma,pellegrino,neomapellegrino,9174592333,5/18/16,30490,,
234,sid,lamore,sidlamore,7171506624,2/8/09,52043,,
235,stella,morman,stellamorman,8350444434,10/11/18,76428,,
236,ha,durrah,hadurrah,2263945221,11/11/01,25218,,
237,chantel,absher,chantelabsher,2963024478,1/7/06,71925,,
238,torri,wert,torriwert,1292113878,8/17/12,24967,,
239,michelina,holscher,michelinaholscher,8425869617,3/14/20,55219,,
240,verlene,arviso,verlenearviso,2040226164,4/16/03,11004,,
241,lois,tew,loistew,4391351419,5/1/16,17458,,
242,miguelina,hoyte,miguelinahoyte,2633681474,1/14/04,18635,,
243,evelina,willaert,evelinawillaert,3182430715,2/16/16,21752,,
244,ranae,topp,ranaetopp,1390823835,9/28/10,73557,,
245,carolann,veasley,carolannveasley,2431559796,7/15/11,53271,,
246,jeannette,gravelle,jeannettegravelle,8630588031,12/14/08,70563,,
247,lenita,slevin,lenitaslevin,1814595398,7/22/16,87395,,
248,valentina,quinby,valentinaquinby,3821464410,4/6/13,77413,,
249,latoyia,bushway,latoyiabushway,2976948684,5/20/11,59771,,
250,keitha,wold,keithawold,1300198943,6/3/01,53974,,
251,flora,plascencia,floraplascencia,2187426563,8/8/05,94935,,
252,azucena,herder,azucenaherder,1176961400,8/22/14,33943,,
253,kathi,lilienthal,kathililienthal,8836667087,3/28/12,97650,,
254,andrea,saine,andreasaine,9842952511,1/3/02,71827,,
255,shawna,riviera,shawnariviera,2855794967,8/27/06,63181,,
256,nolan,harwell,nolanharwell,1624190762,3/11/05,95381,,
257,jennell,leverich,jennellleverich,8777779310,9/6/08,35773,,
258,birgit,puente,birgitpuente,5664009521,11/16/08,15466,,
259,gerry,medal,gerrymedal,5405787923,12/31/05,11370,,
260,palma,sample,palmasample,5991939601,2/25/04,14429,,
261,annalisa,rotolo,annalisarotolo,1124061571,5/25/08,63423,,
262,eilene,jolly,eilenejolly,8246452687,9/14/02,50292,,
263,kathey,keep,katheykeep,6688659484,7/11/03,98592,,
264,fanny,dutra,fannydutra,7263837064,6/28/05,50943,,
265,leanne,proto,leanneproto,5916789051,6/4/05,81193,,
266,traci,heier,traciheier,6234110388,12/29/01,21939,,
267,jennette,everett,jennetteeverett,3091308455,5/20/02,62790,,
268,levi,sharpton,levisharpton,5352850942,3/31/08,38064,,
269,jackson,sills,jacksonsills,1535712918,7/18/03,20399,,
270,fabiola,virden,fabiolavirden,5309741492,5/4/03,67616,,
271,wan,zajac,wanzajac,1982932251,6/22/01,70364,,
272,franklin,kruger,franklinkruger,8964266717,4/16/13,15366,,
273,delcie,graffam,delciegraffam,1089501689,3/1/12,88217,,
274,yolonda,jorgenson,yolondajorgenson,5160934352,6/8/18,78866,,
275,kraig,grove,kraiggrove,8046996487,5/13/00,30457,,
276,joanna,westman,joannawestman,8588002302,2/12/12,84404,,
277,luetta,wyse,luettawyse,6097093388,12/18/18,51094,,
278,nana,neilsen,nananeilsen,1884257465,8/20/12,80944,,
279,elidia,gillett,elidiagillett,9679788842,10/15/01,48656,,
280,lien,brigmond,lienbrigmond,3786143408,8/21/15,63502,,
281,meaghan,majeed,meaghanmajeed,9325333397,9/22/15,70013,,
282,dominica,lanterman,dominicalanterman,1935388543,11/30/01,68153,,
283,cami,ryals,camiryals,4557394898,2/27/13,10006,,
284,caroline,fleischer,carolinefleischer,6737391630,7/27/19,73688,,
285,joyce,pleasant,joycepleasant,1640888766,8/23/02,21106,,
286,kyung,hearne,kyunghearne,4274617753,10/12/04,68829,,
287,ranee,boomhower,raneeboomhower,9139748316,4/21/06,59035,,
288,jong,steele,jongsteele,6746247624,5/7/11,47971,,
289,benton,duty,bentonduty,9177639807,9/1/16,54375,,
290,margrett,hanks,margretthanks,1310311838,3/19/18,35792,,
291,sherwood,lingenfelter,sherwoodlingenfelter,9218006624,8/6/09,40459,,
292,livia,starr,liviastarr,9495385982,6/17/00,67107,,
293,edna,holt,ednaholt,4482951766,3/5/13,13869,,
294,denise,balser,denisebalser,3600703260,6/22/18,67635,,
295,rolf,galley,rolfgalley,6351797203,9/12/07,18949,,
296,enedina,mika,enedinamika,9967805882,3/12/20,58805,,
297,brandon,authement,brandonauthement,1151814796,7/11/18,29022,,
298,afton,dees,aftondees,8647609192,12/31/06,73458,,
299,cecile,kealey,cecilekealey,1389923403,6/16/05,35229,,
300,dusty,bickel,dustybickel,3830467880,10/29/15,69052,,
301,nichelle,wasko,nichellewasko,3501755538,2/8/20,47303,,
302,leeanna,gregson,leeannagregson,5079903135,7/11/20,47316,,
303,perry,daigneault,perrydaigneault,3649555804,11/21/17,78481,,
304,solange,borror,solangeborror,5106989998,1/23/11,48167,,
305,jamey,kirwin,jameykirwin,7825902040,6/17/20,63770,,
306,jani,foulds,janifoulds,4101521422,4/28/14,48820,,
307,ted,hartig,tedhartig,7287096399,10/2/14,86981,,
308,grace,fitch,gracefitch,9594955176,10/20/03,20067,,
309,idalia,peluso,idaliapeluso,9243582763,7/13/17,36369,,
310,gerri,rotter,gerrirotter,4237514892,7/18/15,99357,,
